"Код населённого пункта;Населённый пункт;Численность населения;Код региона;Регион (область);Код федерального округа;Федеральный округ;Код страты;Страта;"
"10162;Абаза, Республика Хакасия;11823;2020;Республика Хакасия;5;Сибирский;100546;Менее 100тыс;"
"10163;Абакан, Республика Хакасия;184284;2020;Республика Хакасия;5;Сибирский;100545;От 100 тыс. до 250 тыс.;"
"10789;Абдулино, Оренбургская область;16719;2059;Оренбургская область;7;Приволжский;100546;Менее 100тыс;"
"10206;Абинск, Краснодарский край;38440;2026;Краснодарский край;2;Южный;100546;Менее 100тыс;"
"10004;Агидель, Республика Башкортостан;13548;2003;Республика Башкортостан;7;Приволжский;100546;Менее 100тыс;"
"11130;Агинское, Забайкальский край;16718;2024;Забайкальский край;4;Дальневосточный;100546;Менее 100тыс;"
"11131;Агириш, Ханты-Мансийский автономный округ - Югра;1532;2083;Ханты-Мансийский автономный округ - Югра;6;Уральский;100546;Менее 100тыс;"
"10129;Агрыз, Республика Татарстан;19822;2017;Республика Татарстан;7;Приволжский;100546;Менее 100тыс;"
"10001;Адыгейск, Республика Адыгея;13247;2001;Республика Адыгея;2;Южный;100546;Менее 100тыс;"
"10130;Азнакаево, Республика Татарстан;33823;2017;Республика Татарстан;7;Приволжский;100546;Менее 100тыс;"
"10833;Азов, Ростовская область;79872;2063;Ростовская область;2;Южный;100546;Менее 100тыс;"
"11132;Айхал, Республика Саха (Якутия);13487;2015;Республика Саха (Якутия);4;Дальневосточный;100546;Менее 100тыс;"
"10151;Ак-Довурак, Республика Тыва;11895;2018;Республика Тыва;5;Сибирский;100546;Менее 100тыс;"
"10834;Аксай, Ростовская область;49004;2063;Ростовская область;2;Южный;100546;Менее 100тыс;"
"11133;Аксеново-Зиловское, Забайкальский край;2613;2024;Забайкальский край;4;Дальневосточный;100546;Менее 100тыс;"
"11134;Аксубаево, Республика Татарстан;8955;2017;Республика Татарстан;7;Приволжский;100546;Менее 100тыс;"
"11135;Актюбинский, Республика Татарстан;7611;2017;Республика Татарстан;7;Приволжский;100546;Менее 100тыс;"
"10123;Алагир, Республика Северная Осетия — Алания;21253;2016;Республика Северная Осетия-Алания;8;Северо-Кавказский;100546;Менее 100тыс;"
"10912;Алапаевск, Свердловская область;35704;2068;Свердловская область;6;Уральский;100546;Менее 100тыс;"
"10172;Алатырь, Чувашская республика;30989;2022;Чувашская Республика;7;Приволжский;100546;Менее 100тыс;"
"10110;Алдан, Республика Саха (Якутия);21837;2015;Республика Саха (Якутия);4;Дальневосточный;100546;Менее 100тыс;"
"10181;Алейск, Алтайский край;24343;2023;Алтайский край;5;Сибирский;100546;Менее 100тыс;"
"10373;Александров, Владимирская область;54179;2037;Владимирская область;1;Центральный;100546;Менее 100тыс;"
"10255;Александровск, Пермский край;10132;2028;Пермский край;7;Приволжский;100546;Менее 100тыс;"
"10897;Александровск-Сахалинский, Сахалинская область;8529;2067;Сахалинская область;4;Дальневосточный;100546;Менее 100тыс;"
"11136;Александро-Невский, Рязанская область;3501;2064;Рязанская область;1;Центральный;100546;Менее 100тыс;"
"10346;Алексеевка, Белгородская область;35793;2035;Белгородская область;1;Центральный;100546;Менее 100тыс;"
"11137;Алексеевка, Самарская область;10690;2065;Самарская область;7;Приволжский;100546;Менее 100тыс;"
"11138;Алексеевск, Иркутская область;1770;2042;Иркутская область;5;Сибирский;100546;Менее 100тыс;"
"11139;Алексеевское, Республика Татарстан;11526;2017;Республика Татарстан;7;Приволжский;100546;Менее 100тыс;"
"11011;Алексин, Тульская область;58220;2073;Тульская область;1;Центральный;100546;Менее 100тыс;"
"10462;Алзамай, Иркутская область;5020;2042;Иркутская область;5;Сибирский;100546;Менее 100тыс;"
